Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
0x4055c7,100%,0,803,803,0,0,0,803
0x457c02,100%,0,70,70,0,0,0,70
0x40570a,100%,0,552287,552287,552287,0,0,0
0x44d8fa,100%,0,2,2,2,0,0,0
0x457247,100%,0,42,42,7,0,0,35
0x4582d6,100%,0,14,14,7,0,0,7
0x4571e0,100%,0,336,336,287,0,0,49
0x45509b,100%,0,552287,552287,0,0,0,552287
0x454f4d,100%,0,1105378,1105378,553091,0,0,552287
0x405b2d,100%,0,552288,552288,552288,0,0,0
0x44e747,100%,0,183,183,183,0,0,0
0x45890f,100%,0,4,4,0,0,0,4
0x457b84,100%,0,154,154,98,0,0,56
0x457add,100%,0,70,70,14,0,0,56
0x4572fe,100%,0,168,168,126,0,0,42
0x4550ce,100%,0,553091,553091,553091,0,0,0
0x44d94b,100%,0,21,21,0,0,0,21
0x4353d8,100%,0,1105378,1105378,0,0,0,1105378
0x457a01,100%,0,70,70,0,0,0,70
0x457693,100%,0,7,7,7,0,0,0
0x457b24,100%,0,70,70,70,0,0,0
0x4353e9,100%,0,1105378,1105378,1105378,0,0,0
0x4572b5,100%,0,28,28,21,0,0,7
0x457c9c,100%,0,70,70,56,0,0,14
0x457cb8,100%,0,132,132,132,0,0,0
0x4587d4,100%,0,7,7,0,0,0,7
0x45737b,100%,0,35,35,0,0,0,35
0x4579ec,100%,0,57,57,57,0,0,0
0x457a62,100%,0,70,70,0,0,0,70
0x457a91,100%,0,231,231,161,0,0,70
0x457abe,100%,0,70,70,0,0,0,70
0x457399,100%,0,28,28,7,0,0,21
0x457c14,100%,0,342,342,140,0,0,202
0x47ad52,100%,0,84,84,63,0,0,21
0x44d719,100%,0,245,245,210,0,0,35
0x457197,100%,0,49,49,42,0,0,7
0x458908,100%,0,4,4,0,0,0,4
0x44e806,100%,0,183,183,0,0,0,183
0x457b74,100%,0,70,70,14,0,0,56
0x44e89b,100%,0,183,183,0,0,0,183
0x458720,100%,0,7,7,0,0,0,7
0x405c53,100%,0,803,803,803,0,0,0
0x47ad68,100%,0,21,21,7,0,0,14
0x45877b,100%,0,7,7,0,0,0,7
0x45808d,100%,0,7,7,0,0,0,7
0x457471,100%,0,7,7,0,0,0,7
0x44e830,100%,0,915,915,183,0,0,732
0x4579a9,100%,0,70,70,0,0,0,70
0x457a96,100%,0,70,70,0,0,0,70
0x457c35,100%,0,342,342,70,0,0,272
0x4550b0,100%,0,1105378,1105378,0,0,0,1105378
0x4579c9,100%,0,56,56,28,0,0,28
0x457bf9,100%,0,154,154,98,0,0,56
0x44d734,100%,0,21,21,0,0,0,21
0x45816a,100%,0,14,14,0,0,0,14
0x44d727,100%,0,21,21,0,0,0,21
0x457fb0,100%,0,7,7,7,0,0,0
0x48cfc5,100%,0,60,60,0,0,0,60
0x48cf96,100%,0,60,60,60,0,0,0
0x45865d,100%,0,7,7,0,0,0,7
0x44e731,100%,0,183,183,0,0,0,183
0x457d3b,100%,0,53,53,0,0,0,53
0x4584ba,100%,0,7,7,7,0,0,0
0x457bd6,100%,0,364,364,210,0,0,154
0x457bab,100%,0,154,154,0,0,0,154
0x4574b6,100%,0,7,7,0,0,0,7
0x457c8a,100%,0,49,49,0,0,0,49
0x4571ec,100%,0,49,49,49,0,0,0
0x457159,100%,0,49,49,0,0,0,49
0x458320,100%,0,14,14,14,0,0,0
0x4570dc,100%,0,49,49,0,0,0,49
0x4570cf,100%,0,49,49,0,0,0,49
0x4571aa,100%,0,7,7,0,0,0,7
0x457688,100%,0,7,7,0,0,0,7
0x4574bb,100%,0,7,7,0,0,0,7
0x45767b,100%,0,7,7,0,0,0,7
0x4573df,100%,0,7,7,0,0,0,7
0x44e7fd,100%,0,549,549,366,0,0,183
0x44e773,100%,0,183,183,0,0,0,183
0x44e71c,100%,0,183,183,0,0,0,183
0x44e705,100%,0,183,183,0,0,0,183
0x458886,100%,0,7,7,0,0,0,7
0x4573a2,100%,0,21,21,21,0,0,0
0x45818b,100%,0,14,14,14,0,0,0
0x4573ff,100%,0,7,7,0,0,0,7
0x45810b,100%,0,7,7,0,0,0,7
0x4580de,100%,0,7,7,0,0,0,7
0x45809f,100%,0,7,7,0,0,0,7
0x458034,100%,0,7,7,0,0,0,7
0x44d82c,100%,0,21,21,21,0,0,0
0x44e714,100%,0,183,183,0,0,0,183
0x4572cc,100%,0,42,42,0,0,0,42
0x457c6e,100%,0,404,404,132,0,0,272
0x405610,100%,0,803,803,803,0,0,0
0x454f1f,100%,0,1105378,1105378,0,0,0,1105378
0x4579b5,100%,0,70,70,0,0,0,70
0x457384,100%,0,35,35,0,0,0,35
0x457270,100%,0,42,42,42,0,0,0
0x458025,100%,0,7,7,7,0,0,0
0x405874,100%,0,552287,552287,552287,0,0,0
0x44e7d9,100%,0,1281,1281,732,0,0,549
0x458058,100%,0,7,7,7,0,0,0
0x457238,100%,0,42,42,42,0,0,0
0x4580d5,100%,0,28,28,21,0,0,7
0x4059cb,100%,0,547854,547854,547854,0,0,0
0x4577b8,100%,0,7,7,7,0,0,0
0x4353e2,100%,0,1105378,1105378,1105378,0,0,0
0x44e7ad,100%,0,549,549,0,0,0,549
0x4572a0,100%,0,42,42,35,0,0,7
0x458657,100%,0,7,7,0,0,0,7
0x457320,100%,0,42,42,42,0,0,0
0x44d68f,100%,0,21,21,21,0,0,0
0x44d688,100%,0,56,56,35,0,0,21
0x44d682,100%,0,56,56,0,0,0,56
0x44d665,100%,0,56,56,56,0,0,0
0x44e78c,100%,0,549,549,366,0,0,183
0x44d73d,100%,0,21,21,0,0,0,21
0x47ad4c,100%,0,84,84,0,0,0,84
0x45817a,100%,0,14,14,0,0,0,14
0x44d92c,100%,0,21,21,0,0,0,21
0x4586fe,100%,0,7,7,0,0,0,7
0x4056b3,100%,0,803,803,0,0,0,803
0x44d752,100%,0,21,21,0,0,0,21
0x405c80,100%,0,803,803,803,0,0,0
0x457303,100%,0,42,42,0,0,0,42
0x44e814,100%,0,915,915,366,0,0,549
0x4571b9,100%,0,49,49,0,0,0,49
0x40566d,100%,0,803,803,0,0,0,803
0x44e859,100%,0,1098,1098,366,0,0,732
