Branch PC,Accuracy,Mispredictions,Correct Predictions,Total,dir_t_pred_t,dir_t_pred_nt,dir_nt_pred_t,dir_nt_pred_nt
aggregate,99.996%,2082,51818005,51820087,23358934,1669,413,28459071
0x4dde45,99.9701%,1633,5463422,5465055,4579539,1285,348,883883
0x59d4ea,99.9956%,381,8730571,8730952,7846235,348,33,884336
0x59d51a,99.9993%,64,9164256,9164320,8279915,35,29,884341
0x4dde35,100%,2,5465191,5465193,137,1,1,5465054
0x59d533,99.9998%,2,884368,884370,0,0,2,884368
0x59cda0,100%,0,884369,884369,0,0,0,884369
0x4dde13,100%,0,884370,884370,0,0,0,884370
0x59cdc5,100%,0,884369,884369,0,0,0,884369
0x59ce7d,100%,0,884231,884231,884231,0,0,0
0x59d4b4,100%,0,884369,884369,0,0,0,884369
0x59cd99,100%,0,884369,884369,0,0,0,884369
0x59cde8,100%,0,884369,884369,0,0,0,884369
0x59ce0a,100%,0,884369,884369,0,0,0,884369
0x59d53c,100%,0,884370,884370,0,0,0,884370
0x59cd51,100%,0,138,138,0,0,0,138
0x59ce25,100%,0,884369,884369,0,0,0,884369
0x59d4bd,100%,0,884369,884369,0,0,0,884369
0x59d4cf,100%,0,884369,884369,0,0,0,884369
0x59d4fc,100%,0,884369,884369,0,0,0,884369
0x59ce4f,100%,0,138,138,0,0,0,138
0x59d6a4,100%,0,138,138,138,0,0,0
0x59d6d7,100%,0,138,138,0,0,0,138
0x59d528,100%,0,884370,884370,0,0,0,884370
0x59cd69,100%,0,138,138,0,0,0,138
0x59cd5c,100%,0,138,138,0,0,0,138
0x59cdbd,100%,0,884369,884369,0,0,0,884369
0x4dde20,100%,0,884370,884370,0,0,0,884370
0x59ce45,100%,0,884369,884369,884231,0,0,138
0x59d6e9,100%,0,138,138,138,0,0,0
0x4dde18,100%,0,884370,884370,0,0,0,884370
0x59d4db,100%,0,884369,884369,0,0,0,884369
0x59d545,100%,0,884370,884370,884370,0,0,0
0x59ce6d,100%,0,884231,884231,0,0,0,884231
0x59cd40,100%,0,138,138,0,0,0,138
0x59ce2d,100%,0,884369,884369,0,0,0,884369
0x59cde0,100%,0,884369,884369,0,0,0,884369
0x59d4f5,100%,0,884369,884369,0,0,0,884369
0x59cd74,100%,0,138,138,0,0,0,138
0x59ce02,100%,0,884369,884369,0,0,0,884369
